Name,Small Description,Description,Funding,Year Founded,Headquarters,Country,Website,Target Users
Abridge,Medical conversation documentation,"Abridge provides AI-powered tools to document medical conversations, helping healthcare providers focus on patient care rather than note-taking.",$213M,2018,Pittsburgh,United States,https://abrdge.com,"Healthcare Provider, Clinician, Medical Professional"
Adept,AI model developer,Develops AI models capable of executing complex tasks across different domains by interpreting human instructions.,$415M,2022,San Francisco,United States,https://www.adept.ai,"Software Engineer, Engineer, Product Manager"
Anduril Industries,Defense software and hardware,"Focused on developing autonomous defense systems and surveillance tools, including drones and virtual border monitoring systems.",$2.8B,2017,Costa Mesa,United States,https://www.anduril.com,"Defense Contractor, Security Professional"
Anthropic,AI model developer,"Specialises in building interpretable and reliable AI systems, such as language models, with a focus on AI safety and alignment with human values.",$7.7B,2020,San Francisco,United States,https://www.anthropic.com,"Researcher, AI Engineer"
Anyscale,AI app deployment software,"Provides tools to simplify the deployment, scaling, and management of distributed AI and machine learning applications on any infrastructure.",$259M,2019,San Francisco,United States,https://www.anyscale.com,"AI Engineer, ML Engineer"
AssemblyAI,Speech transcription tooling provider,"Offers APIs for automatic speech-to-text transcription and audio intelligence, enabling developers to build apps with voice recognition capabilities.",$115M,2017,San Francisco,United States,https://www.assemblyai.com,"Software Engineer, Media Professional"
Baseten,AI app deployment software,A platform for deploying machine learning models into production without requiring extensive backend development or infrastructure expertise.,$60M,2019,San Francisco,United States,https://www.baseten.co,"Data Scientist, Engineer"
Cerebras Systems,Computer chip maker,"Builds cutting-edge AI compute hardware, including the Cerebras Wafer-Scale Engine, to accelerate machine learning and deep learning workloads.",$720M,2016,Sunnyvale,United States,https://www.cerebras.net,"AI Researcher, Engineer"
Character.AI,Consumer chatbot app,"Offers personalised conversational AI tools, allowing users to create chatbot 'characters' for entertainment, education, or task automation.",$193M,2021,Menlo Park,United States,https://character.ai,"Consumer, Content Creator"
Cleanlab,Error detection for data,Focuses on improving the quality of training data for machine learning models by identifying and fixing errors in datasets automatically.,$30M,2021,San Francisco,United States,https://www.cleanlab.io,"Data Scientist, ML Engineer"
Codeium,Coding autocompletion app,Provides AI-powered code autocompletion tools that integrate with popular IDEs to speed up development and reduce repetitive coding tasks.,$93M,2021,Mountain View,United States,https://www.codeium.com,Software Engineer
Cohere,AI model developer,"Develops large language models (LLMs) that power natural language processing tasks like text summarisation, classification, and generation for enterprise use.",$445M,2019,Toronto,Canada,https://cohere.ai,"Software Engineer, NLP Researcher"
