Year,World rank,Company,Country,Region,ISO3 Code,ICB3 short,ICB3 long,R&D (€million),R&D one-year growth (%),Net sales (€million),Net sales one-year growth (%),R&D intensity (%),Capex (€million),Capex one-year growth (%),Capex intensity (%),R&D-to-capex ratio (%),Operating profit (€million),Operating profit one-year growth (%),Profitability (%),Market capitalisation (€million),Market capitalisation one-year growth (%),Employees,Employees one-year growth (%),
2024,1,"AMAZON.COM, INC.",US,US,USA,ICT services,Software & Computer Services,65318.28,10.33,614071.61,10.99,10.64,79891.23,57.41,13.01,81.76,66024.64,86.13,10.75,2220511.39,39.00,1556000,2.03,
2024,2,ALPHABET INC.,US,US,USA,ICT services,Software & Computer Services,46131.49,9.65,336912.12,13.87,13.69,50567.91,62.89,15.01,91.23,108181.73,33.33,32.11,1064664.94,34.64,183323,0.45,
2024,3,"META PLATFORMS, INC.",US,US,USA,ICT services,Software & Computer Services,41985.75,19.54,158341.52,21.94,26.52,35861.01,36.64,22.65,117.08,66407.74,59.34,41.94,1228619.59,63.49,74067,10.03,
2024,4,MICROSOFT CORPORATION,US,US,USA,ICT services,Software & Computer Services,31271.54,10.09,271175.28,14.93,11.53,62133.99,45.13,22.91,50.33,123715.47,17.45,45.62,2834358.37,15.07,228000,0.00,
2024,5,APPLE INC.,US,US,USA,ICT producers,Technology Hardware & Equipment,30195.40,4.86,376393.30,2.02,8.02,9093.27,-13.80,2.42,332.06,118602.37,7.80,31.51,3164133.05,18.48,164000,1.86,
2024,6,"HUAWEI INVESTMENT & HOLDING CO., LTD.",China,China,CHN,ICT producers,Technology Hardware & Equipment,22941.20,10.53,113680.32,22.42,20.18,6919.94,11.64,6.09,331.52,9427.43,73.71,8.29,,,208000,0.48,
2024,7,"SAMSUNG ELECTRONICS CO.,LTD.",South Korea,ROW,KOR,ICT producers,Electronic & Electrical Equipment,22842.50,23.49,196371.70,16.20,11.63,33551.78,-10.77,17.09,68.08,21359.50,386.67,10.88,207959.74,-32.01,,,
2024,8,VOLKSWAGEN AG,Germany,EU,DEU,Automobiles & Parts,Automobiles & Parts,20998.00,-3.59,324656.00,0.74,6.47,16710.00,14.04,5.15,125.66,21761.00,-3.61,6.70,27030.23,-21.91,666502,1.86,
2024,9,JOHNSON & JOHNSON,US,US,USA,Health industries,Pharmaceuticals & Biotechnology,16586.77,12.31,85495.24,3.05,19.40,4258.35,-2.62,4.98,389.51,15732.02,-54.60,18.40,335153.12,-7.14,138100,4.70,
2024,10,INTEL CORP,US,US,USA,ICT producers,Technology Hardware & Equipment,15926.46,3.12,51112.72,-2.08,31.16,23047.45,-7.01,45.09,69.10,-8026.76,-7680.91,-15.70,83237.74,-58.92,108900,-12.74,
2024,11,"MERCK & CO., INC.",US,US,USA,Health industries,Pharmaceuticals & Biotechnology,14613.53,18.13,61765.33,6.74,23.66,3245.74,-12.71,5.25,450.24,19463.86,512.94,31.51,242225.69,-8.34,75000,4.17,
2024,12,ROCHE HOLDING AG,Switzerland,ROW,CHE,Health industries,Pharmaceuticals & Biotechnology,13856.78,-1.23,64274.33,3.03,21.56,3749.47,-5.69,5.83,369.57,14255.21,-12.85,22.18,30747.49,-83.15,103249,-0.34,
2024,13,NVIDIA CORP,US,US,USA,ICT producers,Technology Hardware & Equipment,12430.46,48.86,125610.74,114.20,9.90,3114.83,202.71,2.48,399.07,78403.12,145.27,62.42,2829321.71,90.88,36000,21.62,
2024,14,ASTRAZENECA PLC,UK,ROW,GBR,Health industries,Pharmaceuticals & Biotechnology,12032.92,19.80,52048.32,18.03,23.12,1851.96,41.37,3.56,649.74,9543.75,25.49,18.34,196002.95,-2.08,94300,4.89,
2024,15,ELI LILLY AND COMPANY,US,US,USA,Health industries,Pharmaceuticals & Biotechnology,10579.07,18.01,43356.15,32.00,24.40,4868.42,46.70,11.23,217.30,13664.36,107.34,31.52,705430.78,33.27,47000,9.30,
2024,16,PFIZER INC,US,US,USA,Health industries,Pharmaceuticals & Biotechnology,10335.93,1.51,61244.59,6.84,16.88,2800.08,-25.54,4.57,369.13,12501.68,183.89,20.41,144715.87,-6.93,81000,-7.95,
2024,17,MERCEDES-BENZ GROUP AG,Germany,EU,DEU,Automobiles & Parts,Automobiles & Parts,9698.00,-2.83,145594.00,-4.98,6.66,4039.00,7.85,2.77,240.11,13600.00,-30.34,9.34,51630.90,-22.91,175264,5.55,
2024,18,ORACLE CORP,US,US,USA,ICT services,Software & Computer Services,9490.81,10.60,55249.78,8.38,17.18,20420.64,208.99,36.96,46.48,17376.07,13.94,31.45,284060.98,0.38,162000,1.89,
2024,19,BRISTOL-MYERS SQUIBB COMPANY,US,US,USA,Health industries,Pharmaceuticals & Biotechnology,9415.73,6.25,46491.48,7.32,20.25,1201.27,3.23,2.58,783.81,-6601.21,-170.24,-14.20,110418.45,10.57,34100,0.00,
2024,20,TENCENT HOLDINGS LIMITED,China,China,CHN,ICT services,Software & Computer Services,9321.27,10.31,87067.24,8.41,10.71,8298.10,199.54,9.53,112.33,27441.75,30.00,31.52,476895.74,41.63,110558,4.88,
2024,21,BAYERISCHE MOTOREN WERKE AG,Germany,EU,DEU,Automobiles & Parts,Automobiles & Parts,9078.00,17.06,142380.00,-8.44,6.38,12205.00,12.17,8.57,74.38,11377.00,-38.38,7.99,47545.58,-21.63,158441,2.57,
2024,22,BROADCOM INC.,US,US,USA,ICT producers,Technology Hardware & Equipment,8961.40,77.23,49642.89,43.99,18.05,527.48,21.24,1.06,1698.91,14678.99,-4.26,29.57,725008.25,109.75,37000,85.00,
2024,23,NOVARTIS AG,Switzerland,ROW,CHE,Health industries,Pharmaceuticals & Biotechnology,8953.70,4.97,49785.35,-4.37,17.98,1314.85,28.87,2.64,680.97,13999.42,44.95,28.12,206875.01,-6.01,75883,-0.23,
2024,24,GENERAL MOTORS COMPANY,US,US,USA,Automobiles & Parts,Automobiles & Parts,8855.52,-7.07,180423.52,9.08,4.91,25131.39,6.09,13.93,35.24,12305.32,31.46,6.82,56382.23,19.82,162000,-0.61,
2024,25,QUALCOMM INC,US,US,USA,ICT producers,Technology Hardware & Equipment,8560.02,0.85,37503.13,8.77,22.82,1002.02,-28.21,2.67,854.27,9866.20,31.61,26.31,169199.42,43.17,49000,-2.00,
2024,26,TOYOTA MOTOR CORPORATION,Japan,Japan,JPN,Automobiles & Parts,Automobiles & Parts,8135.02,10.32,294595.27,6.52,2.76,30073.17,4.02,10.21,27.05,29409.95,-10.41,9.98,255592.16,-32.63,383853,0.80,
2024,27,ABBVIE INC.,US,US,USA,Health industries,Pharmaceuticals & Biotechnology,8003.66,18.14,54224.66,3.71,14.76,937.53,25.35,1.73,853.70,8794.88,-28.38,16.22,302262.94,13.28,55000,10.00,
2024,28,ROBERT BOSCH GESELLSCHAFT MIT BESCHRAENKTER HAFTUNG,Germany,EU,DEU,Automobiles & Parts,Automobiles & Parts,7954.00,5.16,90345.00,-1.37,8.80,5122.00,-6.86,5.67,155.29,2871.00,-36.24,3.18,,,424665,-1.11,
2024,29,FORD MOTOR CO,US,US,USA,Automobiles & Parts,Automobiles & Parts,7700.45,-2.44,178065.26,5.00,4.32,8358.84,5.44,4.69,92.12,5023.58,-4.38,2.82,37197.07,-18.87,171000,-3.39,
2024,30,CISCO SYSTEMS INC,US,US,USA,ICT producers,Technology Hardware & Equipment,7684.09,5.72,51788.43,-5.61,14.84,644.91,-21.08,1.25,1191.49,12484.36,-13.30,24.11,170536.57,-16.14,90400,6.48,
2024,31,ALIBABA GROUP HOLDING LIMITED,China,China,CHN,ICT services,Software & Computer Services,7536.43,9.37,131387.00,5.86,5.74,11337.02,167.93,8.63,66.48,18580.96,43.90,14.14,,,124320,-39.32,
2024,32,"HONDA MOTOR CO., LTD.",Japan,Japan,JPN,Automobiles & Parts,Automobiles & Parts,7424.38,23.99,133010.96,6.17,5.58,3132.61,46.50,2.36,237.00,7441.96,-12.19,5.59,43846.88,-28.39,194173,-0.42,
2024,33,SANOFI,France,EU,FRA,Health industries,Pharmaceuticals & Biotechnology,7394.00,9.90,46112.00,7.06,16.03,3195.00,5.65,6.93,231.42,8483.00,18.03,18.40,118405.12,4.30,84587,-3.87,
2024,34,GSK PLC,UK,ROW,GBR,Health industries,Pharmaceuticals & Biotechnology,6865.82,5.82,37839.79,3.46,18.14,1687.21,6.47,4.46,406.93,4633.49,-42.46,12.25,67399.85,-5.91,68629,-2.25,
2024,35,STELLANTIS N.V.,France,EU,FRA,Automobiles & Parts,Automobiles & Parts,6854.00,-8.42,156878.00,-17.23,4.37,11060.00,8.51,7.05,61.97,5402.00,-75.84,3.44,36461.57,-45.45,259118,-4.49,
2024,36,BAYER AG,Germany,EU,DEU,Health industries,Pharmaceuticals & Biotechnology,6693.00,22.56,46606.00,-2.16,14.36,2778.00,0.98,5.96,240.93,-278.00,-160.17,-0.60,18984.36,-42.66,92815,-6.93,
